Ticker,Start,End,Window,Benchmark Total Log Return,ADF p-value,Hurst,Half-life,Volatility,CapSize,Total Log Return,Annualized Log Return,Sharpe Ratio,Max Drawdown,Annualized Volatility
HD,2015-01-01,2024-12-31,34,1.5572592047971996,0.6579,0.618,864.8321,0.0155,Large,-0.7054679023691386,-0.0706870423049793,-0.4602821915161169,0.5287998511928648,0.1535732722401105
HD,2015-01-01,2024-12-31,55,1.5572592047971996,0.6579,0.618,864.8321,0.0155,Large,-0.6087836163870248,-0.06099939217873967,-0.39049954795143643,0.48338985859320827,0.1562086115047839
HD,2015-01-01,2024-12-31,89,1.5572592047971996,0.6579,0.618,864.8321,0.0155,Large,-0.10294136125272191,-0.01031460160464649,-0.06854296432925311,0.4019508609766116,0.15048373973292506
HD,2015-01-01,2024-12-31,144,1.5572592047971996,0.6579,0.618,864.8321,0.0155,Large,-0.0344674533878255,-0.003453597715201601,-0.023010408098367758,0.34058889778535173,0.15008850344755867
COST,2015-01-01,2024-12-31,1,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,0.0,0.0,,0.0,0.0
COST,2015-01-01,2024-12-31,2,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,0.0,0.0,,0.0,0.0
COST,2015-01-01,2024-12-31,3,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,0.0,0.0,,0.0,0.0
COST,2015-01-01,2024-12-31,5,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.7321072462313754,-0.0733562727834221,-0.9031173492248309,0.5191054416089627,0.08122562682068471
COST,2015-01-01,2024-12-31,8,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.971445681619305,-0.09733769851612917,-0.8413440934504149,0.6239135470396642,0.11569309070316285
COST,2015-01-01,2024-12-31,13,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.6292142966494445,-0.06304652197044136,-0.5137350653289152,0.504430527046474,0.12272185845456408
COST,2015-01-01,2024-12-31,21,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.8316650312568256,-0.08333184408617099,-0.6668422347984384,0.592344910625147,0.12496485635970418
COST,2015-01-01,2024-12-31,34,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.667658701976273,-0.06689860552605201,-0.5012504775356212,0.5201147210012432,0.1334634250224687
COST,2015-01-01,2024-12-31,55,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.5746183051592035,-0.057576068747562346,-0.429736839336976,0.5109007568475666,0.1339798301592998
COST,2015-01-01,2024-12-31,89,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.2653479204957967,-0.026587545115284602,-0.21420865979322276,0.339226385683574,0.12411984249819666
COST,2015-01-01,2024-12-31,144,2.0821778899507333,0.977,0.6594,-6643.2837,0.0136,Large,-0.14966235588736776,-0.014995989536229295,-0.12547594011485483,0.3177310748407757,0.1195128685427873
AVGO,2015-01-01,2024-12-31,1,3.428138590027774,0.9912,0.6985,-2734.1255,0.0235,Large,0.0,0.0,,0.0,0.0
AVGO,2015-01-01,2024-12-31,2,3.428138590027774,0.9912,0.6985,-2734.1255,0.0235,Large,0.0,0.0,,0.0,0.0
AVGO,2015-01-01,2024-12-31,3,3.428138590027774,0.9912,0.6985,-2734.1255,0.0235,Large,0.0,0.0,,0.0,0.0
AVGO,2015-01-01,2024-12-31,5,3.428138590027774,0.9912,0.6985,-2734.1255,0.0235,Large,-0.1563771148462174,-0.015668800374253198,-0.11655839569248097,0.4384201678976999,0.13442875805868673
