AAPL,MSFT,JPM,NVDA,XOM,JNJ,UNH,PG,V,MA,HD,COST,AVGO,LLY,BAC,MRK,ADBE,TFX,HES,WU,FIVE,GNRC,CHDN,CROX,ENPH,FICO,ROK,LII,INSM,NEOG,ACLS,PRDO,IMMR,CVCO,GPRO,STRL,TPC,GHC,FIZZ,EVTC,CMTL,MGEE
3.1602908191221784,3.6794981618433473,3.742942770331229,-0.7360142985599109,4.067555873426788,4.360803968456329,4.5049111275224165,4.226392145296652,4.083106302506245,4.365759053460435,4.405748074937029,4.728054931855682,2.0654791076995123,4.065899883301019,2.518371323209359,3.7831657306690207,4.272909116937918,4.639740550823616,4.078594396803252,2.34456303536002,3.525772102772224,3.816392744190822,2.7380514103501543,2.3933394388438005,2.3776925407100893,4.3008033683927795,4.445636978892569,4.42949340433142,2.689207131441274,2.893949575838069,2.298577075426524,1.7265763956574975,2.1023774793120715,4.316554348449031,3.860940179870124,1.76644164494164,3.1415626953890583,6.179654420853753,2.164999078612435,2.888655473537683,3.224142919937901,3.609405943878265
3.185721779637041,3.68273679768208,3.7390013320702664,-0.7330132482796297,4.067226488668877,4.33401631485295,4.5034920334416,4.225734062514091,4.090492573770395,4.371233563522789,4.397357654174032,4.725618733392355,2.075542063306341,4.084820272167027,2.5105387871040525,3.7764797899422153,4.269557549897232,4.644174758512659,4.072147193599727,2.332292601817734,3.5040547671018634,3.819249598578934,2.7178423039246598,2.384165115144968,2.3608540371057307,4.296599148097447,4.452870450695302,4.441050405930879,2.697326248021437,2.88978804485102,2.302585092994046,1.7231517228452449,2.149406338816148,4.27749907143976,3.8573556073090716,1.7191887627204694,3.0726933323507546,6.1702780020337125,2.168503360623328,2.8941510124364225,3.2182098621974826,3.6152360921706017
3.1933270738774815,3.6725537122992784,3.742227225743679,-0.7191240723789757,4.075753096162963,4.340020429426142,4.53792381900018,4.227764321037066,4.092203944180987,4.364804307054896,4.400065822774411,4.7238951606930675,2.0803936896758315,4.0877316475060015,2.5203201390365577,3.769266364299301,4.270256746628291,4.6412809781314674,4.0982515622818045,2.3410728222670136,3.4904284921297486,3.819907683058083,2.7186794937785455,2.3739750677695604,2.3446862982721037,4.35519108881297,4.461745128559705,4.453610877305247,2.6602595506039637,2.881202549906289,2.290512523342865,1.714538460831687,2.1267150770340866,4.254335350542251,3.9178062683888313,1.7101878534742698,3.0933125672924255,6.171985790971653,2.1423668067554535,2.896142184593582,3.2112960539035824,3.6173865705400083
3.2190098643464227,3.698562474934048,3.772190851085011,-0.7020293964002792,4.086579109451227,4.358109208971445,4.578526175342852,4.237525918165192,4.093446942685321,4.3726564129677925,4.42430347249583,4.73908801859876,2.078684097088513,4.090771954735979,2.563501512542189,3.776160319044817,4.297013306031921,4.648229543907244,4.107451735085823,2.366390864256342,3.5115454388310208,3.8362212590910674,2.743780274274392,2.376764533671887,2.3988039715231295,4.373479430839614,4.481567714201476,4.4681527611777065,2.6803363729930827,2.8943647569030357,2.3105532550743786,1.7282844286185077,2.132164521749528,4.270536224523606,3.878466190340277,1.7119944938734573,3.092405191982908,6.186183820211487,2.1750406213920184,2.8876528482663892,3.274532647338553,3.6310410525213705
3.2241568082886904,3.699623040595738,3.756263174861516,-0.699128057880334,4.065028337037279,4.342960282775234,4.5621433311879995,4.220574465840096,4.096121965773964,4.372775004717854,4.41768210743369,4.74459345858905,2.0954626327962247,4.086207475719385,2.540873240959142,3.774561431837337,4.304875542520218,4.652805392388369,4.090096277956432,2.3669588533211408,3.5304696994883926,3.8284240180481746,2.7456146984693404,2.376764533671887,2.47148364234335,4.365392585186669,4.466152930864149,4.4707927498833095,2.700689869753188,2.896852335189986,2.298577075426524,1.717992793098523,2.12780729885015,4.253624928544053,3.9610035956850598,1.7065646647041754,3.091496905937363,6.183862991603252,2.180240005973221,2.9050536663499846,3.2653135887795597,3.6384305577927694
3.225218430403629,3.69601337093856,3.7578496406105124,-0.7034832284401057,4.07455482089026,4.34354707898548,4.558655031355614,4.215008485547222,4.089284556003649,4.363369747403817,4.427033646401602,4.750629685833745,2.0931228726613935,4.085930278674618,2.5484732324434822,3.7798283480206356,4.286891410190813,4.662781310381686,4.101606364832898,2.373185799537433,3.5380566087362966,3.8714092875820736,2.7392816755179266,2.361796920267479,2.494031529214649,4.363487696805992,4.469796014597518,4.483688358847487,2.7694588172725547,2.9120571386355554,2.294552928987703,1.717992793098523,2.173682189201751,4.287853274875425,3.9201895650676026,1.7083778568336623,3.127199012882986,6.216554079748308,2.1597197424990555,2.9065309448831753,3.2739407300811183,3.6369568378563937
3.1895775775159527,3.598914925195045,3.7477584736630147,-0.7526856470455442,4.065688381618995,4.3418833464208335,4.544215810292525,4.179904973621336,4.067451968593595,4.341236667203215,4.415687182884291,4.737103193033772,2.074778963443845,4.080646884634456,2.5344954923538117,3.775680833813064,4.269137839783518,4.653163669424425,4.1010484962450935,2.353235914766759,3.5386377375859865,3.8104331091295474,2.728153296626771,2.3608540371057307,2.4956817323904943,4.37121187276693,4.469702803635755,4.476959174849705,2.7669478327590045,2.902426890129053,2.274185645944447,1.7093346150395108,2.165305119140301,4.294014786510243,3.9400271662279667,1.378766101905706,3.1103993621378137,6.224714751659566,2.1728661346654263,2.901597054762843,3.270974066347579,3.6308291366755228
3.2445701031163625,3.5638485770400985,3.7216189462774047,-0.7691216937043656,4.032146845811684,4.335890340283946,4.5300257342103825,4.16429043337226,4.048832995083436,4.3285603178514185,4.4116853547702926,4.727338597778769,2.0767809495867535,4.069994631922019,2.5065993925388006,3.757778784849135,4.2520603082138555,4.64588887927452,4.01977139203367,2.329349265072811,3.5242995877904146,3.8055507778906983,2.718888886176228,2.3739750677695604,2.4923786772477015,4.3639960607833945,4.481936627534937,4.479374819093409,2.7252350408551207,2.880781866862933,2.2782924238760085,1.7058503655100608,2.157916978558991,4.298101366546802,3.9408047890625495,1.3558351831302635,3.083743157863329,6.232501615732614,2.1437123052609626,2.901102575822779,3.2736443511020976,3.6126491106139005
3.275228712298572,3.583560581367515,3.738283232938647,-0.745073312572465,4.027931251452564,4.344719837410746,4.53856393612423,4.170378979807615,4.055467601014505,4.336455546905171,4.438810793774838,4.734617781281196,2.091247444788159,4.085930278674618,2.521617115165515,3.768139666715638,4.271653568672807,4.654236714030242,4.014912560007963,2.3393229531157607,3.53427034924408,3.7934646658681204,2.732083056653194,2.376764533671887,2.5634096760090963,4.3577511628132735,4.4952956965287685,4.481684600398221,2.770085594411824,2.894157240699192,2.3105532550743786,1.7384713082556134,2.1912535271060465,4.340553386467307,3.928683449322589,1.3190856139763718,3.121924322328886,6.275590652496762,2.1746061888638857,2.9075144126076657,3.2967820402530097,3.643047418566243
3.260486521952678,3.5444826446707722,3.7148382095062784,-0.7748343260536641,4.026102359317551,4.32259761670306,4.509439179428393,4.1541393002006775,4.082949534554386,4.344411032177117,4.4086253364028005,4.751189181821869,2.0563834896268016,4.084403741999773,2.5033040952284153,3.7385549626250083,4.250350623384666,4.633371590663319,4.041793232931041,2.3317047568018636,3.506157808139705,3.7782630536223474,2.7122784245413416,2.3608540371057307,2.516889723350716,4.265823292321862,4.485247210850113,4.467644095960428,2.7382560456267386,2.850233698042951,2.2617631382102195,1.679323520384048,2.154734067364178,4.297421480446403,3.907010463604602,1.2441546022037906,3.077772941719433,6.233304000913279,2.1178311904906115,2.893653048156019,3.2523829964180986,3.603324092258834
