AAPL,ACLS,ADBE,AKAM,AMSC,AMZN,AVGO,BAC,BBY,CHDN,CLF,CLW,CMTL,COST,CROX,CRVL,CVCO,CVGW,CVX,EXR,FE,FICO,FIZZ,GHC,GOOGL,HD,HES,ILMN,IMMR,INSM,JNJ,JPM,LII,LLY,MA,MGEE,MKC,MRK,MSFT,MTCH,NEOG,NVDA,PFE,PG,PRDO,PRTS,REG,ROK,STRL,TFX,TPC,TXT,UNH,V,WDC,WU,XOM
187667600,150875,3279600,1220900,65200,102428000,21248000,76273800,4496500,784800,9100600,107600,84400,2928900,1247200,140400,134500,110200,7028000,1147100,3978900,180000,287000,36900,33404000,15989600,4640400,1213657,382600,374600,9233900,12180900,383400,7153300,3463300,109300,1751600,12360112,27803500,537900,585987,628392000,33175177,10188200,606800,96300,448800,526200,76300,246500,285300,1574300,2294500,7169900,8978275,3000800,9835600
168249600,140475,2010400,863000,103600,85664000,22620000,150748500,7425200,269400,11988900,89000,34000,5717000,813600,62400,115100,147600,5927500,951800,5244400,171300,165200,20100,32536000,8258900,3994600,827848,213100,349700,8267900,24007100,565100,4664900,2469900,65000,1690800,7745978,24907500,884900,318587,541072000,21034889,8344100,268000,55500,711600,763500,75600,209100,175300,1135600,2246400,6288500,9803165,2878100,9680300
121768400,79250,1988400,838400,124100,60512000,17478000,106156900,4937200,856200,6599300,80000,75500,2830500,567200,60000,66000,69500,6241100,1013400,3386300,143800,252400,17300,30598000,4577200,3838400,583493,292100,332200,8232200,16076200,417500,4848800,2268900,64500,1068400,9153127,23842400,868800,399633,398880000,28095740,6242500,258800,60700,547100,1086800,90400,148800,353800,916200,2756000,5552200,6784873,2585400,14397900
128104000,74000,2217900,1584900,66100,58324000,25889000,81214000,4733800,664200,6572300,108600,47200,2088400,657300,144000,72300,63700,4707100,1204500,2342400,159700,138400,16600,34798000,5089800,2743400,787654,187200,393400,7435200,11862000,257000,4689200,2446700,61800,1514800,9047489,23905800,826200,307123,391084000,36437939,6526800,283000,42200,786700,587000,69800,155600,254700,1094100,2538100,6302100,8039210,3681800,13191900
152074400,79150,1095900,1586800,70200,51902000,17609000,66303200,9777500,646200,7867800,95800,49100,1828400,1087900,83400,60200,58700,4231200,744000,3186300,80400,226400,17700,24816000,3854500,2558600,466506,293000,525200,6462300,9347500,266600,4440500,2231800,53600,1032600,5837674,26118700,1010100,200750,413636000,25126833,5620600,334300,72000,622900,650100,368000,137100,321500,1647100,3036500,5934300,6596081,3603000,11766100
140560800,108775,3014800,1182300,81300,60676000,19907000,96183700,30027700,1062600,8241800,121200,47700,2813100,1094200,111300,128300,78100,4383300,923200,2562900,163100,313400,11100,37884000,5181500,2311700,823428,205600,443400,6125300,13839400,390200,3711800,2446500,106800,1263400,6614138,34757900,480000,386570,415788000,29890808,6293300,313900,79900,863700,628400,240300,173600,346900,1105800,2702400,7582300,9475194,2475600,10056600
152675200,72900,1954500,1142000,74200,65354000,21737000,123498700,13456300,960600,12494300,90500,37800,4156700,800600,124500,64600,77400,5428200,835900,4992900,119500,138000,11100,32216000,5017500,3708700,903920,184600,355900,5453800,18935200,285000,4621700,2689500,110400,1344200,10052626,24040200,644100,221545,458076000,22152761,6049800,382500,73400,608300,958700,276800,140700,245000,1338200,2211300,5846700,11191654,2079500,9578400
225324800,141700,1970900,2335200,86800,48934000,18431000,65356600,6112700,613800,9369600,48500,45800,7679400,646500,131700,112000,58400,4147200,798800,3806900,147800,117400,21200,27202000,3996800,3399600,579381,228100,352500,3973600,9428400,189800,2654600,1738300,86800,954800,5995084,24335200,666000,236741,309964000,26656292,4622300,431300,94100,335000,1108900,92800,159800,444700,1134900,1499300,4284000,10772131,2491900,7867900
145364800,77600,1603600,1166300,99200,44984000,18693000,62411300,4521900,691800,9731900,103400,44500,3349800,564100,77100,200800,80500,5008900,548000,2556000,136600,155000,27100,34802000,4025300,3747200,678172,273500,323200,4647000,10116000,399600,3247500,2724300,86800,701800,7869222,17721400,484300,152495,277416000,21569056,4322200,261500,264800,505200,685800,81500,172300,261800,897200,1833400,4374600,10619324,2391300,7505900
169228800,94100,3480500,1261000,258400,72366000,32058000,85635900,5005000,555000,46018100,154100,66000,3738900,611000,131700,147100,108200,8141800,1435900,3454900,241300,305600,21800,42484000,6366900,2650500,978450,350700,852700,10104700,15139400,514700,4438800,4028800,179200,1390200,9922988,37653100,1326400,334316,412524000,34547274,6705000,468800,341900,2771700,788100,105600,224900,681400,1445900,3634100,8639600,10449451,6046000,13178800
116693200,118200,1662600,1240800,359700,65262000,30777000,62612100,3721900,1113000,22525900,106000,82700,3487300,1030100,150000,102500,155500,4815200,773100,2949800,225500,527000,12400,20788000,4744300,3284200,809036,323300,1267900,4748900,14031000,230100,2450200,2677500,152800,1159400,7012168,25324800,687400,350846,387132000,24361207,6184100,264200,713600,551500,634800,111400,222100,314800,775800,2618000,4507000,8710235,2924300,7994800
160766400,108975,1761700,707400,248900,60532000,46746000,64327300,3802100,1056000,12678100,88500,92600,3957600,1020700,360600,76900,131000,6714100,447600,2780100,231000,210600,19900,33916000,3858500,2451200,902584,186100,952300,7310800,10637600,220100,3231000,2662100,84000,1064200,7645684,22840800,886800,236208,329208000,31807717,5186300,264700,309600,487200,695600,86900,280100,284700,1025900,4015000,5627500,10050963,3449700,9837500
114019600,180775,2417000,1280200,169900,67346000,82985000,148600900,2886700,436800,13696600,77600,85900,1964200,794500,257400,89100,153300,4957800,855600,2509500,132300,201400,17500,24608000,4155900,2079300,703974,216900,380600,6881700,20261700,297800,5319000,2814800,63900,1364600,5697871,23368300,1159400,212480,461076000,28377580,6306700,236700,281700,582100,821700,112200,264300,602300,6526800,3625600,7628000,6538134,2491400,9367100
93170000,119550,1395800,909300,252800,54096000,34010000,80949300,8113100,316800,16080000,94100,101500,1961600,518100,222000,77600,469500,5948200,896600,3216600,116800,321600,12500,29992000,8051700,2925300,771308,206600,312600,6349400,13193500,289100,3253800,2160700,85600,1088000,7235392,18243300,519300,290861,322512000,21526791,5292300,225700,540700,443100,967300,72900,363200,640100,2543700,2959900,7620100,7649586,1732500,8573000
