AAPL,MSFT,JPM,NVDA,XOM,JNJ,UNH,PG,V,MA,HD,COST,AVGO,LLY,BAC,MRK,ADBE,TFX,HES,NTNX,WU,FIVE,GNRC,WING,CHDN,FND,HWM,CROX,ENPH,FICO,ROK,LII,INSM,NEOG,ACLS,PRDO,ORGO,IMMR,CVCO,GPRO,STRL,TPC,GHC,FIZZ,EVTC,CMTL,MGEE
4.334948018618971,5.06651858863118,4.772391633823746,1.8240167538997165,3.9800626945095665,4.851881062363746,5.6284918028129205,4.707336442218925,5.266054107946629,5.7395707273794505,5.306122595991949,5.628291287813387,3.2799381524629614,4.885291321534013,3.4166838521958405,4.304256840681989,5.844645274294032,5.924072838405408,4.175095613649956,3.580180066959693,2.9915327367818225,4.758749260829952,4.643621354742495,4.377631135793224,4.260484393900174,3.889163689425807,3.3889980013245027,3.759104895447435,3.4284882394233933,6.010874931648526,5.230907294811963,5.448032871507783,3.121924322328886,3.5517702401415296,3.2327787450853074,2.910346646737085,1.6695918244778665,1.9709237295319304,5.354508634657761,1.4609378908394477,2.688527537206614,2.475697739577606,6.3771514050642475,2.946510822088142,3.503462711474721,3.526351548817607,4.258432796013088
4.345958258168239,5.072099694174464,4.779289530854533,1.825421800177804,3.9762775774119774,4.8584047666662,5.620915330490037,4.710030042279313,5.284543512957538,5.75000635658189,5.31953641207726,5.633721680848218,3.285588908450313,4.872124191612504,3.416395594409742,4.301950857796644,5.857189993362985,5.922380391198735,4.1692472468314286,3.5593400653898115,2.9980358887931864,4.754021159017368,4.639764798324715,4.440314112283831,4.268509332947107,3.8792931681920515,3.3660704301270994,3.727619326466775,3.449987545831587,6.003812993303151,5.228370611172602,5.432555858895838,3.0661906945405133,3.5734685854771437,3.220075132876583,2.8955860763169747,1.66581823865906,1.9593627927977277,5.3618084671932555,1.4562867240478574,2.701361187349418,2.4492794655564256,6.3756759267536225,2.940857398524843,3.512786779027689,3.515653106087994,4.261210192865277
4.3391584465705355,5.068502402698194,4.769399798192514,1.8200320397932455,3.9618802067190053,4.859075334365407,5.627793226800987,4.707495276647317,5.297116924015093,5.744647046395033,5.32401082685129,5.661492970663267,3.2832545927979098,4.881607787631232,3.403346179130455,4.290897251639033,5.857933154483459,5.922927482544187,4.148869422354258,3.544431518895514,2.9816984058302864,4.76711896854695,4.62898439984664,4.407417186289145,4.255610437230035,3.8772245188443932,3.368795131140173,3.7307408862590252,3.442339332315206,6.0101145466076575,5.213857441529377,5.4379593543783935,3.0392705463510703,3.5452977696728207,3.2212729281567642,2.9035206589010527,1.59736534278292,1.95027789354948,5.368822430277394,1.4770487505164178,2.6796507213477314,2.4344901505008125,6.364232506592693,2.919924642607074,3.5159717227365834,3.51123076220478,4.2636023932181475
4.342721460556413,5.063686213487852,4.7682298628103625,1.828746069311271,3.9560929666595728,4.852218596861346,5.627992854072623,4.709238523454194,5.300055357319854,5.752012605579192,5.323796055984133,5.657110305209401,3.2990349620616346,4.886209916036166,3.406260948528199,4.287334244954989,5.858104561388439,5.929184866098229,4.129854621801145,3.593194162002116,2.9911702820667334,4.750568401871386,4.630545489344027,4.443737092538173,4.248324983066723,3.9027804425417814,3.349563985993972,3.746440539429234,3.4537898583225464,6.018520222101706,5.201842545494428,5.447143488677779,3.007166628551692,3.553346067555522,3.2124552632081076,2.910346646737085,1.6114359607817696,1.9437374320288454,5.369893547991507,1.4816045625986316,2.6588599382119416,2.432735807601562,6.3617624018811885,2.9356102548273535,3.5145253403598917,3.5271696983459395,4.268370655821955
4.3475258973956885,5.069822762378561,4.767205199436667,1.8396812160143723,3.9498222475555123,4.854105569272006,5.624226700481074,4.70465663336736,5.293395376553611,5.754076556821995,5.327011006478047,5.66027950186179,3.3201542515103264,4.88373412363493,3.3992513288677157,4.275101187161239,5.8629491526347355,5.925216883927241,4.119834469768665,3.57178373370072,2.997315263738057,4.750222462966631,4.634631875395595,4.440099696496969,4.2540038324992535,3.901366449915241,3.37320741397213,3.740522661906913,3.4679210041891366,6.028471240387327,5.216381560262732,5.441952043911109,3.0066721796335956,3.554919415643953,3.226844024792752,2.905625721155072,1.601405748427758,1.9397928655567442,5.41481071186176,1.4861397133506802,2.675527040923073,2.4159137612711503,6.352197484645329,2.9397666210097264,3.522312240364679,3.52060489286097,4.272118849223542
4.344639650283647,5.059695139160431,4.742063944346132,1.8302240271427481,3.943059706501202,4.852690465402762,5.601769778515378,4.705855989082711,5.286007952602395,5.750037437745008,5.319924213027845,5.652675694877557,3.3336710709024695,4.86846374827968,3.3821065333093467,4.245536003316328,5.861839785417498,5.912664988320262,4.087450391435283,3.5618979793595704,2.973613200796324,4.7770204429147505,4.66973993947179,4.434941595474536,4.253514428508508,3.8821821382635466,3.3588823423553564,3.7201358548564136,3.487375101234689,6.01444835367419,5.20354621838097,5.421577589617084,3.000222186422059,3.5176462486313076,3.219675523334675,2.8659425207638143,1.5769147522549636,1.9606540583510534,5.415522435734807,1.490654389331624,2.6581594635674883,2.3951642986288713,6.332486398637985,2.939548241955374,3.512786779027689,3.5372064793435136,4.267744660047959
4.3147932421404525,5.042830339519797,4.7336165165728294,1.7883167460336828,3.9189475228872634,4.855585671115386,5.571536760029719,4.710241475253684,5.269729855298539,5.72532687590079,5.316426780328624,5.6492562710713194,3.2863657567974607,4.862983682652779,3.3613193836561583,4.246930428453421,5.849036536381251,5.908710259062223,4.051732469460478,3.5186841268649105,2.9754565004369495,4.755484957150342,4.65376988780104,4.425089463815821,4.25036182862158,3.8689067016096534,3.4110855549386954,3.700808013670819,3.3995293500352295,6.000795874536866,5.174075490991405,5.409847986369996,2.982647022410511,3.523267524388274,3.1658968614637604,2.86758210194871,1.541159088017839,1.9331833759964627,5.410395275409775,1.4655675243945496,2.6440448494364763,2.41858872798778,6.308679940780371,2.935391168719408,3.5005311286749117,3.52471290176671,4.258306205339867
4.342690115865189,5.06223687022443,4.751631136401999,1.8201527858557323,3.9175562982492886,4.860615120230426,5.577782983525383,4.712943027074597,5.2754649196313075,5.739477088786854,5.327909574609596,5.653770204766762,3.3159532133239424,4.869829202253845,3.373121758598952,4.248671247590446,5.871075006199147,5.913611790762973,4.051249552721645,3.511246936924559,2.9879014952840572,4.766097842299998,4.6736695682162255,4.4382761601479075,4.265334603120444,3.901568538272798,3.43683524644048,3.7030288696961526,3.4732079697000513,6.013568451984993,5.188156887152792,5.418127155545355,3.030616631200474,3.53558253634046,3.201526174112421,2.8741145375311437,1.55814461804655,1.952882079591653,5.418364479498638,1.4951487745851055,2.64262240935519,2.4194788241023923,6.311319218503828,2.9445575289146864,3.5168390700997567,3.538554724018319,4.275479998678073
4.363406280172062,5.077709184130958,4.750142212850206,1.8103050715144902,3.909168517159367,4.867547126907688,5.5673391315724885,4.705216626764268,5.285324927668689,5.739633344522847,5.328593370911746,5.649676218381086,3.313436725564459,4.874557064493798,3.3661784862512,4.260084128702983,5.8626648101301715,5.910979650059191,3.979516289146618,3.4735180432417816,2.988628837641854,4.776262291692703,4.697567038036478,4.469980925719515,4.269748773400634,3.92612311175275,3.426614834111092,3.703768029024462,3.483084583311581,6.014570550732719,5.185611485305189,5.404585589316747,3.0430928121696454,3.531786991538084,3.180550688349624,2.8643000294114684,1.5539252065362912,1.9489731510689738,5.384495062789089,1.4255150375933898,2.6004650102462374,2.3933394388438005,6.2853296669084004,2.9174722132459103,3.507552771226299,3.3271349598688618,4.274360764107413
4.36195609009764,5.10552646300988,4.762433235382016,1.8114038208115124,3.919719674073211,4.866350841989113,5.5605293836617635,4.712307838643134,5.301545259811164,5.7524750746976085,5.323323516703882,5.649320939407641,3.306134840412843,4.894020551549708,3.3803158950185703,4.251565714274025,5.877007197755528,5.913927439809044,3.992233545696692,3.504956579273226,2.9918951559051647,4.764819982706051,4.677490847567717,4.46162430291176,4.27886012833094,3.9267145872508906,3.403886430570444,3.6699514442284173,3.511246936924559,6.01588886675599,5.178654465610074,5.400821787183024,3.0335096599276774,3.542262768935845,3.1986731175506815,2.8632033167295803,1.5496879161274713,1.9411094962809852,5.3482972988530575,1.4036430416317451,2.6078614513577736,2.4221443686695787,6.268841360080519,2.899680976370799,3.513366521716177,3.3204526716951204,4.285127458861401
4.316604340962892,5.090657625210028,4.7361131159991645,1.7724972813860451,3.877636317066559,4.8563919043509065,5.5297008628950115,4.701692011602224,5.256151935001314,5.725865135757929,5.302970980897194,5.636474714727732,3.2737638809721226,4.872554062355358,3.3607104812864192,4.239235540489599,5.861185046057862,5.890016942327111,3.957660462172373,3.480316623709553,2.966205737408712,4.729332839390206,4.6404407647180514,4.43440271665874,4.263328272778776,3.8981269280861865,3.3873298503181863,3.6352149255032398,3.4506222795126376,5.997396927895919,5.16235268314246,5.387857815077326,3.02237424907331,3.5155671415751804,3.1842843643027336,2.838208981579133,1.4973883616884853,1.9035714546542655,5.411735352655377,1.3711807378328014,2.578700552228821,2.421256643038528,6.249403728643371,2.8743691092704897,3.486039999630476,3.2891256067144865,4.268870892785327
